ID,Description
REQ-CHG-ACD1,ChargingCtrl acdc runtime state shall be observable.
REQ-CHG-ACD4,ChargingCtrl acdc input signals shall be scaled before use.
REQ-CHG-ACD5,"ChargingCtrl acdc shall compute a filtered, clamped output."
REQ-CHG-ACD7,ChargingCtrl acdc Step shall update phase and latch faults.
REQ-CHG-ACD6,ChargingCtrl acdc shall provide a self-test returning health.
REQ-CHG-SEQ0,ChargingCtrl sequencer configuration shall be calibratable.
REQ-CHG-SEQ1,ChargingCtrl sequencer runtime state shall be observable.
REQ-CHG-SEQ4,ChargingCtrl sequencer input signals shall be scaled before use.
REQ-CHG-SEQ5,"ChargingCtrl sequencer shall compute a filtered, clamped output."
REQ-CHG-SEQ7,ChargingCtrl sequencer Step shall update phase and latch faults.
REQ-CHG-SEQ6,ChargingCtrl sequencer shall provide a self-test returning health.
REQ-CHG-PIL0,ChargingCtrl pilot configuration shall be calibratable.
REQ-CHG-PIL1,ChargingCtrl pilot runtime state shall be observable.
REQ-CHG-PIL4,ChargingCtrl pilot input signals shall be scaled before use.
REQ-CHG-PIL5,"ChargingCtrl pilot shall compute a filtered, clamped output."
REQ-CHG-PIL7,ChargingCtrl pilot Step shall update phase and latch faults.
REQ-CHG-PIL6,ChargingCtrl pilot shall provide a self-test returning health.
REQ-CHG-MET0,ChargingCtrl metering configuration shall be calibratable.
REQ-CHG-MET1,ChargingCtrl metering runtime state shall be observable.
REQ-CHG-MET4,ChargingCtrl metering input signals shall be scaled before use.
REQ-CHG-MET5,"ChargingCtrl metering shall compute a filtered, clamped output."
REQ-CHG-MET7,ChargingCtrl metering Step shall update phase and latch faults.
REQ-CHG-MET6,ChargingCtrl metering shall provide a self-test returning health.
